Key,Action,Rank
action.EditorChooseLookupItemDot,Choose Lookup Item and Insert Dot,
action.EditorChooseLookupItemReplace,Choose Lookup Item Replace,
action.EditorCloneCaretAbove,Clone Caret Above,
action.EditorCloneCaretBelow,Clone Caret Below,
action.EditorCodeBlockEnd,Move Caret to Code Block End,
action.EditorCodeBlockEndWithSelection,Move Caret to Code Block End with Selection,
action.EditorCodeBlockStart,Move Caret to Code Block Start,
action.EditorCodeBlockStartWithSelection,Move Caret to Code Block Start with Selection,
action.EditorConsoleScrollToTheEnd,Scroll to the end,
action.EditorContextInfo,Context Info,
action.EditorCopy,Copy,
action.EditorCreateRectangularSelection,Create Rectangular Selection,
action.EditorCut,Cut,
action.EditorCutLineBackward,Cut Line Backward,
action.EditorDecreaseFontSize,Decrease Font Size,
action.EditorDelete,Delete,
action.EditorDeleteLine,Delete Line,
action.EditorDeleteToLineEnd,Delete to Line End,
action.EditorDeleteToLineStart,Delete to Line Start,
action.EditorDeleteToWordEnd,Delete to Word End,
action.EditorDeleteToWordEndInDifferentHumpsMode,"Delete to Word End in Different ""CamelHumps"" Mode",
action.EditorDeleteToWordStart,Delete to Word Start,
action.EditorDeleteToWordStartInDifferentHumpsMode,"Delete to Word Start in Different ""CamelHumps"" Mode",
action.EditorDuplicate,Duplicate Line or Selection,
action.EditorDuplicateLines,Duplicate Entire Lines,
action.EditorEnter,Enter,
action.EditorGutterToggleGlobalIndentLines,Show Indent Guides,
action.EditorGutterToggleGlobalLineNumbers,Show Line Numbers,
action.EditorGutterToggleGlobalSoftWraps,Soft-Wrap All Files,
action.EditorHungryBackSpace,Hungry Backspace,
action.EditorIncreaseFontSize,Increase Font Size,
action.EditorIndentLineOrSelection,Indent Line or Selection,
action.EditorIndentSelection,Indent Selection,
action.EditorJoinLines,Join Lines,
action.EditorKillRingSave,Save to Kill Ring,
action.EditorKillToWordEnd,Kill to Word End,
action.EditorKillToWordStart,Kill to Word Start,
action.EditorLineEndWithSelection,Move Caret to Line End with Selection,
action.EditorLineStartWithSelection,Move Caret to Line Start with Selection,
action.EditorLookupDown,Lookup Down,
action.EditorLookupUp,Lookup Up,
action.EditorMatchBrace,Move Caret to Matching Brace,
action.EditorMoveDownAndScroll,Move Down and Scroll,
action.EditorMoveDownAndScrollWithSelection,Move Down and Scroll with Selection,
action.EditorMoveToPageBottom,Move Caret to Page Bottom,
action.EditorMoveToPageBottomWithSelection,Move Caret to Page Bottom with Selection,
action.EditorMoveToPageTop,Move Caret to Page Top,
action.EditorMoveToPageTopWithSelection,Move Caret to Page Top with Selection,
action.EditorMoveUpAndScroll,Move Up and Scroll,
action.EditorMoveUpAndScrollWithSelection,Move Up and Scroll with Selection,
action.EditorNextWordInDifferentHumpsMode,"Move Caret to Next Word in Different ""CamelHumps"" Mode",
action.EditorNextWordInDifferentHumpsModeWithSelection,"Move Caret to Next Word with Selection in Different ""CamelHumps"" Mode",
action.EditorNextWordWithSelection,Move Caret to Next Word with Selection,
action.EditorPageDownWithSelection,Page Down with Selection,
action.EditorPageUp,Page Up,
action.EditorPageUpWithSelection,Page Up with Selection,
action.EditorPasteFromX11,Paste from X clipboard,
action.EditorPreviousWordInDifferentHumpsMode,"Move Caret to Previous Word in Different ""CamelHumps"" Mode",
action.EditorPreviousWordInDifferentHumpsModeWithSelection,"Move Caret to Previous Word with Selection in Different ""CamelHumps"" Mode",
action.EditorPreviousWordWithSelection,Move Caret to Previous Word with Selection,
action.EditorResetFontSize,Reset Font Size,
action.EditorScrollBottom,Scroll to Bottom,
action.EditorScrollDown,Scroll Down,
action.EditorScrollDownAndMove,Scroll Down and Move if Necessary,
action.EditorScrollLeft,Scroll Left,
action.EditorScrollRight,Scroll Right,
action.EditorScrollToCenter,Scroll to Center,
action.EditorScrollTop,Scroll to Top,
action.EditorScrollUp,Scroll Up,
action.EditorScrollUpAndMove,Scroll Up and Move if Necessary,
action.EditorSelectLine,Select Line at Caret,
